@relation 'processed-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -N 12 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 10-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-8,13,15,25-27,33,35'

@attribute sport numeric
@attribute dip numeric
@attribute interval1 numeric
@attribute interval4 numeric
@attribute interval5 numeric
@attribute interval6 numeric
@attribute interval7 numeric
@attribute interval9 numeric
@attribute packet_len2 numeric
@attribute packet_len3 numeric
@attribute packet_len4 numeric
@attribute packet_len5 numeric
@attribute packet_len6 numeric
@attribute packet_len7 numeric
@attribute packet_len8 numeric
@attribute packet_len9 numeric
@attribute packet_len10 numeric
@attribute payload_len4 numeric
@attribute payload_len5 numeric
@attribute payload_len6 numeric
@attribute payload_len7 numeric
@attribute payload_len8 numeric
@attribute payload_len10 numeric

@data
49613,1269248,0.083059,0.082077,0.000091,0.001433,0.176367,0.056954,74,66,82,66,82,66,874,66,1053,16,0,16,0,808,987
34821,1312256,0.007291,0.006264,0.001292,0.000064,0.001755,0.005779,74,66,250,66,1502,1502,66,66,1251,184,0,1436,1436,0,1185
51318,804352,0.007081,0.007401,0.001091,0.000057,0.000033,0.000242,74,66,403,66,1494,1494,1223,66,66,337,0,1428,1428,1157,0
45615,1312256,0.006872,0.005921,0.000881,0.000355,0.001976,0.414004,74,66,251,66,1502,321,66,66,66,185,0,1436,255,0,0
54532,1144320,0.158417,0.000411,0.15812,0.000084,0.002114,0.002282,74,66,171,585,66,66,272,66,66,105,519,0,0,206,0
40072,885760,0.00386,0.004197,0.08115,0.000049,0.000269,0.000019,74,66,322,66,1494,1494,1494,1494,1494,256,0,1428,1428,1428,1428
42667,1256960,0.026786,0.02711,0.024828,0.000076,0.000209,0.000042,74,66,762,66,1494,1494,1494,1494,1494,696,0,1428,1428,1428,1428
43051,1101312,0.014377,0.01467,0.000368,0.000352,0.00075,0.0135,74,66,751,66,398,1502,66,66,705,685,0,332,1436,0,639
43052,1101312,0.01495,0.015297,0.000039,0.000353,0.001184,0.006255,58,54,711,54,360,1259,54,54,735,657,0,306,1205,0,681
40908,684544,0.037273,0.025825,0.001335,0.000062,0.00026,0.000046,74,66,708,66,1494,1494,1494,1494,1494,642,0,1428,1428,1428,1428
48665,1097216,0.03288,0.031238,0.196929,0.000055,0.000473,0.000345,74,66,825,66,1494,74,1494,1494,1494,759,0,1428,8,1428,1428
39714,872448,0.007402,0.007699,0.084276,0.000064,0.000036,0.000278,58,54,377,54,1494,1494,102,54,54,323,0,1440,1440,48,0
51929,872448,0.007457,0.007558,0.041808,0.001623,0.024656,0.033372,58,54,376,54,1361,54,387,54,1170,322,0,1307,0,333,1116
53176,804352,0.006843,0.008014,0.001142,0.000049,0.000017,0.000248,74,66,406,66,1494,1494,577,66,66,340,0,1428,1428,511,0
57526,750592,0.007707,0.00592,0.002362,0.000058,0.002149,0.006312,66,54,394,54,1466,1466,54,54,1466,340,0,1412,1412,0,1412
40393,888832,0.00807,0.008527,0.000696,0.000051,0.007587,0.008176,66,54,394,54,1494,1494,54,54,1494,340,0,1440,1440,0,1440
56689,809472,0.011761,0.010702,0.00274,0.000066,0.002134,0.007615,66,54,392,54,1466,1466,54,54,1466,338,0,1412,1412,0,1412
