@relation processed

@attribute sip numeric
@attribute sport numeric
@attribute dip numeric
@attribute dport numeric
@attribute protocal numeric
@attribute interval1 numeric
@attribute interval2 numeric
@attribute interval3 numeric
@attribute interval4 numeric
@attribute interval5 numeric
@attribute interval6 numeric
@attribute interval7 numeric
@attribute interval8 numeric
@attribute interval9 numeric
@attribute packet_len1 numeric
@attribute packet_len2 numeric
@attribute packet_len3 numeric
@attribute packet_len4 numeric
@attribute packet_len5 numeric
@attribute packet_len6 numeric
@attribute packet_len7 numeric
@attribute packet_len8 numeric
@attribute packet_len9 numeric
@attribute packet_len10 numeric
@attribute payload_len1 numeric
@attribute payload_len2 numeric
@attribute payload_len3 numeric
@attribute payload_len4 numeric
@attribute payload_len5 numeric
@attribute payload_len6 numeric
@attribute payload_len7 numeric
@attribute payload_len8 numeric
@attribute payload_len9 numeric
@attribute payload_len10 numeric

@data
1600000,57212,1203200,13870,6,0.000388,4.1e-05,6.3e-05,0.00058,0.002807,0.000737,2.3e-05,0.201089,0.729107,66,66,54,122,145,140,991,139,60,68,0,0,0,68,91,86,937,85,0,14
1600000,57220,1572352,26774,6,0.779539,4.6e-05,0.000918,0.285407,2.4e-05,0.022412,0.209165,0.007841,0.000963,66,66,54,134,60,215,137,54,88,169,0,0,0,80,0,161,83,0,34,115
1600000,53914,1050624,80,6,0.019669,2.1e-05,0.011569,0.019667,0.000194,0.000336,2.4e-05,9.7e-05,0.00012,66,60,54,465,60,267,1494,54,1494,1494,0,0,0,411,0,213,1440,0,1440,1440
1600000,53912,1050624,80,6,0.019843,7.1e-05,0.011756,0.01977,0.000138,0.001371,1.4e-05,0.000158,6.9e-05,66,60,54,462,60,266,1494,54,1494,1494,0,0,0,408,0,212,1440,0,1440,1440
1600000,53913,1050624,80,6,0.019958,3.5e-05,0.011491,0.022248,3.3e-05,7.6e-05,1.3e-05,0.000112,0.000121,66,60,54,465,60,267,1494,54,1494,1494,0,0,0,411,0,213,1440,0,1440,1440
1600000,53915,957440,80,6,0.006607,8.8e-05,0.006796,0.006303,0.009205,0.006444,0.009208,0.00618,0.04763,66,66,54,228,60,1078,60,382,60,1502,0,0,0,174,0,1024,0,328,0,1448
1600000,53916,957440,80,6,0.006675,3.2e-05,0.014792,0.006731,0.009013,0.00649,0.00357,0.000105,1.9e-05,66,66,54,227,60,374,60,1502,1502,54,0,0,0,173,0,320,0,1448,1448,0
1600000,53917,957440,80,6,0.005354,6.3e-05,0.01337,0.005432,0.010127,0.005594,0.005147,0.000124,2.3e-05,66,66,54,227,60,350,60,1502,1502,54,0,0,0,173,0,296,0,1448,1448,0
1600000,53921,862208,80,6,0.006524,8e-05,0.00567,0.008165,0.062677,0.000111,2.9e-05,0.006876,0.000123,66,66,54,678,60,1494,1494,54,1494,1494,0,0,0,624,0,1440,1440,0,1440,1440
1600000,53928,738816,443,6,0.037732,8.2e-05,0.000698,0.037563,0.002116,0.000131,3.9e-05,7.4e-05,0.009926,66,66,54,274,60,1484,1484,54,792,172,0,0,0,220,0,1430,1430,0,738,118
