@relation processed

@attribute sip numeric
@attribute sport numeric
@attribute dip numeric
@attribute dport numeric
@attribute protocal numeric
@attribute interval1 numeric
@attribute interval2 numeric
@attribute interval3 numeric
@attribute interval4 numeric
@attribute interval5 numeric
@attribute interval6 numeric
@attribute interval7 numeric
@attribute interval8 numeric
@attribute interval9 numeric
@attribute packet_len1 numeric
@attribute packet_len2 numeric
@attribute packet_len3 numeric
@attribute packet_len4 numeric
@attribute packet_len5 numeric
@attribute packet_len6 numeric
@attribute packet_len7 numeric
@attribute packet_len8 numeric
@attribute packet_len9 numeric
@attribute packet_len10 numeric
@attribute payload_len1 numeric
@attribute payload_len2 numeric
@attribute payload_len3 numeric
@attribute payload_len4 numeric
@attribute payload_len5 numeric
@attribute payload_len6 numeric
@attribute payload_len7 numeric
@attribute payload_len8 numeric
@attribute payload_len9 numeric
@attribute payload_len10 numeric

@data
1327104,49613,1269248,80,6,0.083059,0.001064,0.008893,0.082077,9.1e-05,0.001433,0.176367,0.120211,0.056954,74,74,66,82,66,82,66,874,66,1053,0,0,0,16,0,16,0,808,0,987
1327104,34821,1312256,80,6,0.007291,0.000957,0.001761,0.006264,0.001292,6.4e-05,0.001755,0.000217,0.005779,74,74,66,250,66,1502,1502,66,66,1251,0,0,0,184,0,1436,1436,0,0,1185
1327104,51318,804352,80,6,0.007081,0.003528,0.000228,0.007401,0.001091,5.7e-05,3.3e-05,0.011267,0.000242,74,74,66,403,66,1494,1494,1223,66,66,0,0,0,337,0,1428,1428,1157,0,0
1327104,45615,1312256,80,6,0.006872,0.001,0.003989,0.005921,0.000881,0.000355,0.001976,0.000224,0.414004,74,74,66,251,66,1502,321,66,66,66,0,0,0,185,0,1436,255,0,0,0
1327104,54532,1144320,80,6,0.158417,0.001615,0.002346,0.000411,0.15812,8.4e-05,0.002114,0.001285,0.002282,74,74,66,171,585,66,66,272,66,66,0,0,0,105,519,0,0,206,0,0
1327104,40072,885760,80,6,0.00386,0.00136,0.000743,0.004197,0.08115,4.9e-05,0.000269,2.4e-05,1.9e-05,74,74,66,322,66,1494,1494,1494,1494,1494,0,0,0,256,0,1428,1428,1428,1428,1428
1327104,42667,1256960,80,6,0.026786,0.001579,0.001397,0.02711,0.024828,7.6e-05,0.000209,4.5e-05,4.2e-05,74,74,66,762,66,1494,1494,1494,1494,1494,0,0,0,696,0,1428,1428,1428,1428,1428
1327104,43051,1101312,80,6,0.014377,0.001132,0.000736,0.01467,0.000368,0.000352,0.00075,0.000762,0.0135,74,74,66,751,66,398,1502,66,66,705,0,0,0,685,0,332,1436,0,0,639
1327104,43052,1101312,80,6,0.01495,0.00183,0.000496,0.015297,3.9e-05,0.000353,0.001184,0.000495,0.006255,74,58,54,711,54,360,1259,54,54,735,0,0,0,657,0,306,1205,0,0,681
1327104,40908,684544,80,6,0.037273,0.001487,0.000874,0.025825,0.001335,6.2e-05,0.00026,4.4e-05,4.6e-05,74,74,66,708,66,1494,1494,1494,1494,1494,0,0,0,642,0,1428,1428,1428,1428,1428
1327104,48665,1097216,80,6,0.03288,0.001608,0.110992,0.031238,0.196929,5.5e-05,0.000473,4.1e-05,0.000345,74,74,66,825,66,1494,74,1494,1494,1494,0,0,0,759,0,1428,8,1428,1428,1428
1327104,39714,872448,80,6,0.007402,0.00114,0.000513,0.007699,0.084276,6.4e-05,3.6e-05,0.002045,0.000278,74,58,54,377,54,1494,1494,102,54,54,0,0,0,323,0,1440,1440,48,0,0
1327104,51929,872448,80,6,0.007457,0.00107,0.000365,0.007558,0.041808,0.001623,0.024656,0.007636,0.033372,74,58,54,376,54,1361,54,387,54,1170,0,0,0,322,0,1307,0,333,0,1116
1327104,53176,804352,80,6,0.006843,0.002519,0.001529,0.008014,0.001142,4.9e-05,1.7e-05,0.003009,0.000248,74,74,66,406,66,1494,1494,577,66,66,0,0,0,340,0,1428,1428,511,0,0
1327104,57526,750592,80,6,0.007707,0.002304,0.001513,0.00592,0.002362,5.8e-05,0.002149,0.00024,0.006312,74,66,54,394,54,1466,1466,54,54,1466,0,0,0,340,0,1412,1412,0,0,1412
1327104,40393,888832,80,6,0.00807,0.002809,0.000994,0.008527,0.000696,5.1e-05,0.007587,0.000243,0.008176,74,66,54,394,54,1494,1494,54,54,1494,0,0,0,340,0,1440,1440,0,0,1440
1327104,56689,809472,80,6,0.011761,0.003855,0.000239,0.010702,0.00274,6.6e-05,0.002134,0.000275,0.007615,74,66,54,392,54,1466,1466,54,54,1466,0,0,0,338,0,1412,1412,0,0,1412
1327104,60167,750592,80,6,0.005766,0.002726,0.000233,0.005452,0.003446,5.1e-05,0.003812,0.005126,0.064497,74,66,54,392,54,1466,1111,54,54,391,0,0,0,338,0,1412,1057,0,0,337
1327104,58608,872448,80,6,0.008748,0.001129,0.000401,0.006622,0.047988,5.9e-05,0.002194,0.000227,0.032125,74,66,54,378,54,1494,169,54,54,390,0,0,0,324,0,1440,115,0,0,336
1327104,47202,872448,80,6,0.007445,0.001414,0.000756,0.00774,0.080561,4.5e-05,0.005647,0.002742,0.014374,74,58,54,375,54,1494,1265,54,54,388,0,0,0,321,0,1440,1211,0,0,334
1327104,42338,684544,80,6,0.039981,0.001305,0.000982,0.003106,0.000379,0.00024,0.03653,0.001729,0.001348,74,66,54,697,1502,1502,1502,54,1502,54,0,0,0,643,1448,1448,1448,0,1448,0
1327104,49473,684544,80,6,0.040308,0.001331,0.00311,0.042979,0.047185,7.8e-05,0.000332,0.001656,0.00038,74,66,54,678,54,1502,1502,1502,54,54,0,0,0,624,0,1448,1448,1448,0,0
1327104,60610,684544,80,6,0.04157,0.001033,0.001527,0.043658,0.101401,8e-05,0.000384,0.004321,0.000236,74,66,54,680,54,1502,1502,1502,54,54,0,0,0,626,0,1448,1448,1448,0,0
1327104,35886,684544,80,6,0.043499,0.001011,0.001628,0.041329,0.071445,9.3e-05,0.000392,0.001222,0.000262,74,66,54,680,54,1502,1502,1502,54,54,0,0,0,626,0,1448,1448,1448,0,0
1327104,36265,684544,80,6,0.043053,0.001043,0.002375,0.041239,0.058426,7.4e-05,0.000324,0.001285,0.000246,74,66,54,680,54,1502,1502,1502,54,54,0,0,0,626,0,1448,1448,1448,0,0
1327104,36850,684544,80,6,0.042647,0.001137,0.002875,0.041381,0.08312,8.1e-05,0.000426,0.001313,0.00029,74,66,54,680,54,1502,1502,1502,54,54,0,0,0,626,0,1448,1448,1448,0,0
1327104,36567,684544,80,6,0.063745,0.00184,0.001024,0.056057,0.041604,6.8e-05,0.000332,0.001288,0.0005,74,66,54,679,54,1502,1502,1502,54,54,0,0,0,625,0,1448,1448,1448,0,0
1327104,36930,684544,80,6,0.055838,0.001892,0.010174,0.062389,0.042332,7.5e-05,0.000337,0.001214,0.000265,74,66,54,680,54,1502,1502,1502,54,54,0,0,0,626,0,1448,1448,1448,0,0
1327104,58839,684544,80,6,0.05015,0.000968,0.001874,0.049117,0.051968,4.4e-05,0.000338,0.001432,0.000221,74,66,54,682,54,1502,1502,1502,54,54,0,0,0,628,0,1448,1448,1448,0,0
1327104,41627,684544,80,6,0.047786,0.001062,0.001747,0.042316,0.07436,8.8e-05,0.000277,0.001451,0.000253,74,66,54,684,54,1502,1502,1502,54,54,0,0,0,630,0,1448,1448,1448,0,0
1327104,43919,684544,80,6,0.040005,0.0011,0.002121,0.040352,0.065962,7.4e-05,0.000383,0.001334,0.000239,74,66,54,680,54,1502,1502,1502,54,54,0,0,0,626,0,1448,1448,1448,0,0
1327104,54138,684544,80,6,0.041126,0.001092,0.001482,0.042614,0.003285,0.004991,0.000628,0.04062,0.193624,74,66,54,690,54,328,54,54,54,54,0,0,0,636,0,274,0,0,0,0
1327104,42861,684544,80,6,0.039417,0.001934,0.00702,0.000733,0.000485,0.00128,0.04276,0.000756,0.000975,74,66,54,649,1502,1502,1502,54,54,54,0,0,0,595,1448,1448,1448,0,0,0
1327104,53590,684544,80,6,0.041055,0.001294,0.003754,0.00046,0.000404,0.000387,0.040359,7.1e-05,0.000402,74,66,54,652,1502,1502,1502,54,54,54,0,0,0,598,1448,1448,1448,0,0,0
1327104,42241,684544,80,6,0.044684,0.001522,0.002906,0.000486,0.000386,0.000369,0.039507,6.8e-05,0.000547,74,66,54,650,1502,1502,1502,54,54,54,0,0,0,596,1448,1448,1448,0,0,0
1327104,51142,684544,80,6,0.039648,0.030364,0.002624,0.000382,0.000369,0.000375,0.038146,0.000535,0.000757,74,66,54,652,1502,1502,1502,54,54,54,0,0,0,598,1448,1448,1448,0,0,0
1327104,54639,684544,80,6,0.04119,0.001334,0.002614,0.001008,0.000383,0.000364,0.038927,0.001661,0.000129,74,66,54,652,1502,1502,1502,54,1502,54,0,0,0,598,1448,1448,1448,0,1448,0
1327104,56996,684544,80,6,0.039406,0.001061,0.002016,0.000345,0.000494,0.00025,0.038595,7.1e-05,0.00037,74,66,54,650,1502,1502,1502,54,54,54,0,0,0,596,1448,1448,1448,0,0,0
1327104,56295,684544,80,6,0.040727,0.001751,0.002131,0.000497,0.00025,0.000375,0.041889,3.5e-05,0.000333,74,66,54,652,1502,1502,1502,54,54,54,0,0,0,598,1448,1448,1448,0,0,0
1327104,39524,684544,80,6,0.040852,0.00102,0.003242,0.000378,0.000378,0.001245,0.039915,0.00058,2.9e-05,74,66,54,649,1502,1502,1502,54,54,54,0,0,0,595,1448,1448,1448,0,0,0
